sr,clientName,gstin,clientType,senior,multiRegistration,member,turnover,papilioId,gstr9Status,gstr9cStatus,proposalStatus,targetDate,gstr9Arn,gstr9Date,gstr9cArn,gstr9cDate,mailSent,papilioUpdate,remarks
192,Tectonic Labs India Private Limited,29AAKCT3529Q1ZG,Sanjay Y,Chandru,No,Siddaraju,,,Yet to Start,Yet to Start,Pending,,,,,,,,
193,Fermbox Bio Private Limited,29AAFCF3049L1ZA,Nagaveni,Chandru,No,Praveen R,,,Yet to Start,Yet to Start,Pending,,,,,,,,
194,Assiduus Distribution Private Limited,29AARCA3477F1Z8,Non CAS,Chandru,Yes,Siddraju /  Praveen R / Nisarga G,,,Yet to Start,Yet to Start,Pending,,,,,,,,
195,Assiduus Distribution Private Limited,06AARCA3477F1ZG,Non CAS,Chandru,Yes,Siddraju /  Praveen R / Nisarga G,,,Yet to Start,Yet to Start,Pending,,,,,,,,
196,Assiduus Distribution Private Limited,07AARCA3477F1ZE,Non CAS,Chandru,Yes,Siddraju /  Praveen R / Nisarga G,,,Yet to Start,Yet to Start,Pending,,,,,,,,
197,Assiduus Distribution Private Limited,27AARCA3477F1ZC,Non CAS,Chandru,Yes,Siddraju /  Praveen R / Nisarga G,,,Yet to Start,Yet to Start,Pending,,,,,,,,
198,Assiduus Distribution Private Limited,19AARCA3477F1Z9,Non CAS,Chandru,Yes,Siddraju /  Praveen R / Nisarga G,,,Yet to Start,Yet to Start,Pending,,,,,,,,
1,Stueve Engineering India Private Limited,33ABDCS8506J1Z8,CAS,Chandru,No,-,,,Pending,Pending,Select,,,,,,,,
2,Kiwi India Private Limited,29AAECK4432B1ZU,,Aditya,No,Prajwala,,,Pending,Pending,Select,,,,,,,,
3,Datarynx Private Limited - Karnataka,29AAFCD6621C2ZU,,Aditya,No,Sandeep bhat,,,Pending,Pending,Select,,,,,,,,
4,Geo Semiconductor (India) Private Limited,29AAFCG1230N1ZI,,Aditya,No,Prajwala,,,Pending,Pending,Select,,,,,,,,
5,SUPPORT.COM INDIA PRIVATE LIMITED,29AAHCS3904R1ZN,,Aditya,No,Praveen Poojary,,,Pending,Pending,Select,,,,,,,,
6,Picsart Technologies India Pvt Ltd - karnataka,29AAMCP0385Q1ZI,,Balaji,No,Bhoomika,,,Select,Pending,Select,,,,,,,,
7,VaNashri Technology Consulting ,29ANAPS9419C1ZT,,Balaji,No,Santosh R,,,Select,Pending,Select,,,,,,,,
51,Excelpoint Systems (India) Private Limited - KA,29AACCE0004D1ZE,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
52,Excelpoint Systems (India) Private Limited - DL,07AACCE0004D1ZK,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
53,Excelpoint Systems (India) Private Limited - MH,27AACCE0004D1ZI,,Aditya,Yes,Sachin,,,In Progress,In Progress,Select,,,,,,,,
55,Bhanuprakash V,29CBKPV0589A1ZA,,Aditya,No,Sachin,,,In Progress,In Progress,Select,,,,,,,,
